mode,evaluation_scope,total_images,prediction_coverage,object_accuracy,position_accuracy,object_position_joint_accuracy,distance_category_accuracy,obstacle_warning_accuracy,obstacle_precision,obstacle_recall,obstacle_f1,obstacle_true_positive,obstacle_false_positive,obstacle_true_negative,obstacle_false_negative,average_latency_ms
gemma_only,all,44,1.0,0.29545454545454547,0.29545454545454547,0.09090909090909091,,,,,,,,,,10569.15909090909
depth_only,all,44,1.0,,,,0.6818181818181818,0.8409090909090909,0.8846153846153846,0.8518518518518519,0.8679245283018868,23,3,14,4,1638.1818181818182
gemma_depth,all,44,1.0,0.3409090909090909,0.3181818181818182,0.11363636363636363,0.6818181818181818,0.8409090909090909,0.8846153846153846,0.8518518518518519,0.8679245283018868,23,3,14,4,11794.931818181818
gemma_only,source_subset:original_30,30,1.0,0.3333333333333333,0.13333333333333333,0.06666666666666667,,,,,,,,,,10698.033333333333
gemma_only,source_subset:sample_new_balancing_medium_far,14,1.0,0.21428571428571427,0.6428571428571429,0.14285714285714285,,,,,,,,,,10293.0
depth_only,source_subset:original_30,30,1.0,,,,0.7666666666666667,0.8666666666666667,1.0,0.8518518518518519,0.92,23,0,3,4,1662.6333333333334
depth_only,source_subset:sample_new_balancing_medium_far,14,1.0,,,,0.5,0.7857142857142857,0.0,0.0,0.0,0,3,11,0,1585.7857142857142
gemma_depth,source_subset:original_30,30,1.0,0.4,0.16666666666666666,0.1,0.7666666666666667,0.8666666666666667,1.0,0.8518518518518519,0.92,23,0,3,4,11970.133333333333
gemma_depth,source_subset:sample_new_balancing_medium_far,14,1.0,0.21428571428571427,0.6428571428571429,0.14285714285714285,0.5,0.7857142857142857,0.0,0.0,0.0,0,3,11,0,11419.5
