mode,total_images,prediction_coverage,object_accuracy,position_accuracy,distance_category_accuracy,obstacle_warning_accuracy,description_quality,average_latency_ms
gemma_only,44,1.0,0.4772727272727273,0.4772727272727273,,,3.2575757575757573,10569.15909090909
depth_only,44,1.0,0.0,0.7727272727272727,0.6818181818181818,0.8409090909090909,3.2954545454545454,1638.1818181818182
gemma_depth,44,1.0,0.4772727272727273,0.9090909090909091,0.6818181818181818,0.8409090909090909,3.909090909090909,11794.931818181818
gemma_depth_prompted,44,1.0,0.36363636363636365,0.8863636363636364,0.6818181818181818,0.8409090909090909,3.772727272727273,14273.954545454546
