mode,total_images,prediction_coverage,object_accuracy,position_accuracy,distance_category_accuracy,obstacle_warning_accuracy,description_quality,average_latency_ms
gemma_only,44,1.0,0.45454545454545453,0.4772727272727273,,,3.2196969696969693,10569.15909090909
depth_only,44,1.0,0.0,0.7272727272727273,0.6363636363636364,0.7954545454545454,3.159090909090909,1638.1818181818182
gemma_depth,44,1.0,0.45454545454545453,0.8863636363636364,0.6363636363636364,0.7954545454545454,3.772727272727273,11794.931818181818
gemma_depth_prompted,44,1.0,0.3409090909090909,0.8636363636363636,0.6363636363636364,0.7954545454545454,3.6363636363636362,14273.954545454546
