metric,paired_images,legacy_mean,constrained_mean,mean_difference,bootstrap_95_low,bootstrap_95_high,wins,ties,losses,snapshot_direction,interval_excludes_zero
semantic_correctness_mean,44,3.8787878787878785,3.977272727272727,0.09848484848484852,-0.007575757575757519,0.20454545454545456,15,22,7,constrained_higher,no
spatial_accuracy_mean,44,3.4318181818181817,3.4621212121212124,0.03030303030303029,-0.2348484848484849,0.303030303030303,18,8,18,constrained_higher,no
groundedness_mean,44,4.045454545454546,3.9621212121212124,-0.08333333333333327,-0.23484848484848483,0.06818181818181822,13,15,16,legacy_higher,no
clarity_mean,44,4.666666666666667,4.454545454545454,-0.21212121212121218,-0.3333333333333333,-0.09848484848484852,3,24,17,legacy_higher,yes
overall_mean,44,3.8636363636363638,3.9015151515151514,0.03787878787878792,-0.12121212121212123,0.19696969696969704,18,15,11,constrained_higher,no
