mode,evaluation_scope,total_images,prediction_coverage,object_accuracy,position_accuracy,object_position_joint_accuracy,distance_category_accuracy,obstacle_warning_accuracy,obstacle_precision,obstacle_recall,obstacle_f1,obstacle_true_positive,obstacle_false_positive,obstacle_true_negative,obstacle_false_negative,average_latency_ms
gemma_depth_legacy_controlled,all,44,1.0,0.29545454545454547,0.29545454545454547,0.09090909090909091,0.6818181818181818,0.8409090909090909,0.8846153846153846,0.8518518518518519,0.8679245283018868,23,3,14,4,11280.181818181818
gemma_depth_constrained_controlled,all,44,1.0,0.29545454545454547,0.29545454545454547,0.09090909090909091,0.6818181818181818,0.8409090909090909,0.8846153846153846,0.8518518518518519,0.8679245283018868,23,3,14,4,11280.181818181818
gemma_depth_legacy_controlled,source_subset:original_30,30,1.0,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.7666666666666667,0.8666666666666667,1.0,0.8518518518518519,0.92,23,0,3,4,11332.033333333333
gemma_depth_legacy_controlled,source_subset:sample_new_balancing_medium_far,14,1.0,0.21428571428571427,0.6428571428571429,0.14285714285714285,0.5,0.7857142857142857,0.0,0.0,0.0,0,3,11,0,11169.07142857143
gemma_depth_constrained_controlled,source_subset:original_30,30,1.0,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.7666666666666667,0.8666666666666667,1.0,0.8518518518518519,0.92,23,0,3,4,11332.033333333333
gemma_depth_constrained_controlled,source_subset:sample_new_balancing_medium_far,14,1.0,0.21428571428571427,0.6428571428571429,0.14285714285714285,0.5,0.7857142857142857,0.0,0.0,0.0,0,3,11,0,11169.07142857143
