mode,total_images,prediction_coverage,object_accuracy,position_accuracy,distance_category_accuracy,obstacle_warning_accuracy,obstacle_precision,obstacle_recall,obstacle_f1,obstacle_true_positive,obstacle_false_positive,obstacle_true_negative,obstacle_false_negative,description_quality,average_latency_ms
gemma_only,44,1.0,0.5227272727272727,0.4772727272727273,,,,,,,,,,3.333333333333333,10569.15909090909
depth_only,44,1.0,0.0,0.7727272727272727,0.6818181818181818,0.8409090909090909,0.8846153846153846,0.8518518518518519,0.8679245283018868,23,3,14,4,3.2954545454545454,1638.1818181818182
gemma_depth,44,1.0,0.5227272727272727,0.9090909090909091,0.6818181818181818,0.8409090909090909,0.8846153846153846,0.8518518518518519,0.8679245283018868,23,3,14,4,3.9545454545454546,11794.931818181818
